;MSCI WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;FTSE 100 - DIVIDEND YIELD;FTSE 100 - PER;FTSE 100 - PRICE INDEX;STOXX EUROPE 600 E - DIVIDEND YIELD;STOXX EUROPE 600 E - PER;STOXX EUROPE 600 E - PRICE INDEX;NASDAQ COMPOSITE - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;DAX PERFORMANCE - PRICE INDEX;S&P SMALLCAP 600 VALUE - PRICE INDEX;HANG SENG - DIVIDEND YIELD;HANG SENG - PER;HANG SENG - PRICE INDEX;S&P 500 VALUE - PRICE INDEX;S&P 500 GROWTH - PRICE INDEX;Yield
ISIN;NA;NA;GB0001383545;GB0001383545;GB0001383545;NA;NA;NA;XC0009694271;US78378X1072;DE0008469008;NA;HK0000004322;HK0000004322;HK0000004322;US78381T1016;US78381J1034;8.834
01.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;92,06;622,38;NA;NA;NA;155;NA;NA;1
02.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;93;629,11;NA;NA;NA;155,38;NA;NA;8.819
05.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;93,46;628,48;NA;NA;NA;154,75;NA;NA;8.757
06.01.70;100;NA;NA;NA;NA;NA;NA;NA;NA;92,82;622,38;NA;NA;NA;155,45;NA;NA;8.809
07.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;92,63;623,39;NA;NA;NA;155,73;NA;NA;8.833
08.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;92,68;623,83;NA;NA;NA;156,96;NA;NA;8.959
09.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;92,4;618,7;NA;NA;NA;156,23;NA;NA;8.935
12.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;91,7;612,9;NA;NA;NA;156,68;NA;NA;8.935
13.01.70;100,67;NA;NA;NA;NA;NA;NA;NA;NA;91,79;607,28;NA;NA;NA;156,78;NA;NA;8.867
14.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;91,65;602,11;NA;NA;NA;156,23;NA;NA;8.867
15.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;91,68;591,7;NA;NA;NA;156,88;NA;NA;8.595
16.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;90,92;581,77;NA;NA;NA;157,84;NA;NA;1
19.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;89,65;579,8;NA;NA;NA;158,52;NA;NA;8.628
20.01.70;99,768;NA;NA;NA;NA;NA;NA;NA;NA;89,83;580,76;NA;NA;NA;159,16;NA;NA;8.599
21.01.70;98,384;NA;NA;NA;NA;NA;NA;NA;NA;89,91;590,17;NA;NA;NA;160,69;NA;NA;8.529
22.01.70;98,384;NA;NA;NA;NA;NA;NA;NA;NA;89,95;592,93;NA;NA;NA;161,06;NA;NA;8.477
23.01.70;98,384;NA;NA;NA;NA;NA;NA;NA;NA;89,07;590,17;NA;NA;NA;160,58;NA;NA;8.444
26.01.70;98,384;NA;NA;NA;NA;NA;NA;NA;NA;88,17;590,84;NA;NA;NA;160,06;NA;NA;8.542
27.01.70;98,384;NA;NA;NA;NA;NA;NA;NA;NA;87,62;592,55;NA;NA;NA;160,62;NA;NA;Aug 37
28.01.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;86,79;593,33;NA;NA;NA;160,79;NA;NA;8.337
29.01.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;85,69;584,52;NA;NA;NA;161,45;NA;NA;8.272
30.01.70;94,249;NA;NA;NA;NA;NA;NA;NA;NA;85,02;582,18;NA;NA;NA;164,11;NA;NA;8.272
02.02.70;94,249;NA;NA;NA;NA;NA;NA;NA;NA;85,75;574,55;NA;NA;NA;165,23;NA;NA;8.185
03.02.70;94,249;NA;NA;NA;NA;NA;NA;NA;NA;86,77;571,65;NA;NA;NA;164,89;NA;NA;8.253
04.02.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;86,24;575,97;NA;NA;NA;165,57;NA;NA;8.236
05.02.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;85,9;576,23;NA;NA;NA;167,29;NA;NA;08. Dec
06.02.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;86,33;583,55;NA;NA;NA;165,75;NA;NA;Aug 19
09.02.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;87,01;585,49;NA;NA;NA;165,75;NA;NA;8.162
10.02.70;95,907;NA;NA;NA;NA;NA;NA;NA;NA;86,1;585,49;NA;NA;NA;168,41;NA;NA;8.107
11.02.70;95,473;NA;NA;NA;NA;NA;NA;NA;NA;86,94;580,99;NA;NA;NA;168,49;NA;NA;8.162
12.02.70;95,473;NA;NA;NA;NA;NA;NA;NA;NA;86,73;582,51;NA;NA;NA;166,6;NA;NA;8.283
13.02.70;95,473;NA;NA;NA;NA;NA;NA;NA;NA;86,54;580,39;NA;NA;NA;166,22;NA;NA;1
16.02.70;95,473;NA;NA;NA;NA;NA;NA;NA;NA;86,47;576,38;NA;NA;NA;166,33;NA;NA;8.311
17.02.70;95,473;NA;NA;NA;NA;NA;NA;NA;NA;86,37;576,41;NA;NA;NA;166,67;NA;NA;8.311
18.02.70;95,632;NA;NA;NA;NA;NA;NA;NA;NA;87,44;571,32;NA;NA;NA;167,4;NA;NA;8.283
19.02.70;95,632;NA;NA;NA;NA;NA;NA;NA;NA;87,76;576,49;NA;NA;NA;167,41;NA;NA;8.283
20.02.70;95,632;NA;NA;NA;NA;NA;NA;NA;NA;88,03;576,04;NA;NA;NA;169,11;NA;NA;8.245
23.02.70;95,632;NA;NA;NA;NA;NA;NA;NA;NA;88,03;577,42;NA;NA;NA;171,46;NA;NA;8.171
24.02.70;95,632;NA;NA;NA;NA;NA;NA;NA;NA;87,99;575,11;NA;NA;NA;171,77;NA;NA;8.175
25.02.70;96,867;NA;NA;NA;NA;NA;NA;NA;NA;89,35;569,79;NA;NA;NA;171,42;NA;NA;8.213
26.02.70;96,867;NA;NA;NA;NA;NA;NA;NA;NA;88,9;567,63;NA;NA;NA;173,18;NA;NA;Aug 18
27.02.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,5;564,55;NA;NA;NA;174,06;NA;NA;8.152
02.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,71;558,6;NA;NA;NA;174,93;NA;NA;8.152
03.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;90,23;549,37;NA;NA;NA;174,6;NA;NA;8.124
04.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;90,04;553,39;NA;NA;NA;177,38;NA;NA;8.124
05.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;90;558,71;NA;NA;NA;179,8;NA;NA;8.283
06.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,44;561,27;NA;NA;NA;183,18;NA;NA;8.316
09.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;88,51;551,05;NA;NA;NA;190,63;NA;NA;8.335
10.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;88,75;555,1;NA;NA;NA;193,39;NA;NA;8.311
11.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;88,69;560,01;NA;NA;NA;189,57;NA;NA;8.349
12.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;88,33;568,53;NA;NA;NA;189;NA;NA;8.292
13.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;87,86;575,26;NA;NA;NA;191,3;NA;NA;8.292
16.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;86,91;569,46;NA;NA;NA;189,61;NA;NA;8.297
17.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;87,29;570,13;NA;NA;NA;187,62;NA;NA;8.363
18.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;87,54;569,42;NA;NA;NA;184,28;NA;NA;8.297
19.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;87,42;563,62;NA;NA;NA;184,44;NA;NA;8.401
20.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;87,06;560,94;NA;NA;NA;184,95;NA;NA;8.458
23.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;86,99;557,44;NA;NA;NA;180,89;NA;NA;8.458
24.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;87,98;559,19;NA;NA;NA;181,24;NA;NA;8.463
25.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,77;560,38;NA;NA;NA;180,94;NA;NA;8.502
26.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,22;567;NA;NA;NA;182,13;NA;NA;8.468
27.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,22;567;NA;NA;NA;181,3;NA;NA;Aug 56
30.03.70;96,979;NA;NA;NA;NA;NA;NA;NA;NA;89,63;567;NA;NA;NA;181,3;NA;NA;8.545
31.03.70;97,075;NA;NA;NA;NA;NA;NA;NA;NA;89,63;572,66;NA;NA;NA;179,63;NA;NA;8.569
01.04.70;97,01;NA;NA;NA;NA;NA;NA;NA;NA;90,07;573,92;NA;NA;NA;176,95;NA;NA;8.569
02.04.70;97,01;NA;NA;NA;NA;NA;NA;NA;NA;89,79;574,63;NA;NA;NA;176,83;NA;NA;1
03.04.70;97,01;NA;NA;NA;NA;NA;NA;NA;NA;89,39;571,76;NA;NA;NA;178,82;NA;NA;8.667
06.04.70;97,01;NA;NA;NA;NA;NA;NA;NA;NA;88,76;572,77;NA;NA;NA;177,53;NA;NA;8.672
07.04.70;97,01;NA;NA;NA;NA;NA;NA;NA;NA;88,52;579,61;NA;NA;NA;179,56;NA;NA;8.599
08.04.70;95,78;NA;NA;NA;NA;NA;NA;NA;NA;88,49;582,66;NA;NA;NA;179,19;NA;NA;8.599
09.04.70;95,78;NA;NA;NA;NA;NA;NA;NA;NA;88,53;581,25;NA;NA;NA;180,17;NA;NA;8.512
10.04.70;95,78;NA;NA;NA;NA;NA;NA;NA;NA;88,24;580,47;NA;NA;NA;182,32;NA;NA;Aug 58
13.04.70;95,78;NA;NA;NA;NA;NA;NA;NA;NA;87,64;575,89;NA;NA;NA;183,78;NA;NA;8.565
14.04.70;95,78;NA;NA;NA;NA;NA;NA;NA;NA;86,89;567,15;NA;NA;NA;183,99;NA;NA;8.546
15.04.70;94,14;NA;NA;NA;NA;NA;NA;NA;NA;86,73;574,48;NA;NA;NA;186,56;NA;NA;8.678
16.04.70;94,14;NA;NA;NA;NA;NA;NA;NA;NA;85,88;571,13;NA;NA;NA;186,19;NA;NA;8.742
17.04.70;94,14;NA;NA;NA;NA;NA;NA;NA;NA;85,67;561,76;NA;NA;NA;185,56;NA;NA;8.796
20.04.70;94,14;NA;NA;NA;NA;NA;NA;NA;NA;85,83;562,32;NA;NA;NA;185,96;NA;NA;8.811
21.04.70;94,14;NA;NA;NA;NA;NA;NA;NA;NA;85,38;566,93;NA;NA;NA;185,22;NA;NA;8.826
22.04.70;91,49;NA;NA;NA;NA;NA;NA;NA;NA;84,27;562,17;NA;NA;NA;184,52;NA;NA;8.811
23.04.70;91,49;NA;NA;NA;NA;NA;NA;NA;NA;83,04;558,26;NA;NA;NA;184,14;NA;NA;8.777
24.04.70;91,49;NA;NA;NA;NA;NA;NA;NA;NA;82,77;550,86;NA;NA;NA;183,12;NA;NA;8.767
27.04.70;91,49;NA;NA;NA;NA;NA;NA;NA;NA;81,46;540,82;NA;NA;NA;180,1;NA;NA;8.792
28.04.70;91,49;NA;NA;NA;NA;NA;NA;NA;NA;80,27;532,6;NA;NA;NA;181,69;NA;NA;8.787
29.04.70;88,1;NA;NA;NA;NA;NA;NA;NA;NA;81,87;524,12;NA;NA;NA;180,34;NA;NA;8.852
30.04.70;87,8;NA;NA;NA;NA;NA;NA;NA;NA;81,52;532,9;NA;NA;NA;178,58;NA;NA;8.867
01.05.70;87,8;NA;NA;NA;NA;NA;NA;NA;NA;81,44;532,9;NA;NA;NA;176,14;NA;NA;1
04.05.70;87,8;NA;NA;NA;NA;NA;NA;NA;NA;79,37;530,81;NA;NA;NA;174,94;NA;NA;8.893
05.05.70;87,8;NA;NA;NA;NA;NA;NA;NA;NA;78,6;532,75;NA;NA;NA;168,46;NA;NA;8.888
06.05.70;86,35;NA;NA;NA;NA;NA;NA;NA;NA;79,47;537,51;NA;NA;NA;172,91;NA;NA;8.908
07.05.70;86,35;NA;NA;NA;NA;NA;NA;NA;NA;79,83;537,51;NA;NA;NA;176,93;NA;NA;9.009
08.05.70;86,35;NA;NA;NA;NA;NA;NA;NA;NA;79,44;534,79;NA;NA;NA;177,61;NA;NA;9.025
11.05.70;86,35;NA;NA;NA;NA;NA;NA;NA;NA;78,6;527,32;NA;NA;NA;174,73;NA;NA;9.065
12.05.70;86,35;NA;NA;NA;NA;NA;NA;NA;NA;77,85;520,99;NA;NA;NA;174,1;NA;NA;9.086
13.05.70;83,55;NA;NA;NA;NA;NA;NA;NA;NA;76,53;510,99;NA;NA;NA;174,46;NA;NA;9.086
14.05.70;83,55;NA;NA;NA;NA;NA;NA;NA;NA;75,44;502,32;NA;NA;NA;174,82;NA;NA;8.986
15.05.70;83,55;NA;NA;NA;NA;NA;NA;NA;NA;76,9;494,03;NA;NA;NA;173,47;NA;NA;9.014
18.05.70;83,55;NA;NA;NA;NA;NA;NA;NA;NA;76,96;494,03;NA;NA;NA;173,4;NA;NA;9.111
19.05.70;83,55;NA;NA;NA;NA;NA;NA;NA;NA;75,46;491,24;NA;NA;NA;172,94;NA;NA;9.203
20.05.70;79,99;NA;NA;NA;NA;NA;NA;NA;NA;73,52;479,82;NA;NA;NA;172,27;NA;NA;9.189
21.05.70;79,99;NA;NA;NA;NA;NA;NA;NA;NA;72,16;467,81;NA;NA;NA;169,84;NA;NA;9.218
22.05.70;79,99;NA;NA;NA;NA;NA;NA;NA;NA;72,25;467,18;NA;NA;NA;168,07;NA;NA;9.233
25.05.70;77,91;NA;NA;NA;NA;NA;NA;NA;NA;70,25;459,66;NA;NA;NA;165,18;NA;NA;9.218
26.05.70;77,91;NA;NA;NA;NA;NA;NA;NA;NA;69,29;445,87;NA;NA;NA;162,64;NA;NA;9.198
27.05.70;77,91;NA;NA;NA;NA;NA;NA;NA;NA;72,77;444,6;NA;NA;NA;165,7;NA;NA;9.213
28.05.70;77,91;NA;NA;NA;NA;NA;NA;NA;NA;74,61;444,6;NA;NA;NA;170,96;NA;NA;9.242
29.05.70;82,06;NA;NA;NA;NA;NA;NA;NA;NA;76,55;485,85;NA;NA;NA;173,02;NA;NA;1
01.06.70;82,06;NA;NA;NA;NA;NA;NA;NA;NA;77,84;473,8;NA;NA;NA;170,91;NA;NA;9.213
02.06.70;82,06;NA;NA;NA;NA;NA;NA;NA;NA;77,84;487,41;NA;NA;NA;170,33;NA;NA;9.042
03.06.70;84,14;NA;NA;NA;NA;NA;NA;NA;NA;78,52;493,99;NA;NA;NA;169,61;NA;NA;9.066
04.06.70;84,14;NA;NA;NA;NA;NA;NA;NA;NA;77,36;498,23;NA;NA;NA;170,25;NA;NA;8.965
05.06.70;84,14;NA;NA;NA;NA;NA;NA;NA;NA;76,17;483,91;NA;NA;NA;169,44;NA;NA;8.969
08.06.70;84,14;NA;NA;NA;NA;NA;NA;NA;NA;76,29;480,98;NA;NA;NA;170,11;NA;NA;9.022
09.06.70;84,14;NA;NA;NA;NA;NA;NA;NA;NA;76,25;485,77;NA;NA;NA;169,41;NA;NA;8.921
10.06.70;81,63;NA;NA;NA;NA;NA;NA;NA;NA;75,48;484,43;NA;NA;NA;172,13;NA;NA;Aug 96
11.06.70;81,63;NA;NA;NA;NA;NA;NA;NA;NA;74,45;490,39;NA;NA;NA;174,67;NA;NA;8.926
12.06.70;81,63;NA;NA;NA;NA;NA;NA;NA;NA;74,21;492,06;NA;NA;NA;173,5;NA;NA;8.907
15.06.70;81,63;NA;NA;NA;NA;NA;NA;NA;NA;74,38;489,79;NA;NA;NA;173,35;NA;NA;8.679
16.06.70;81,63;NA;NA;NA;NA;NA;NA;NA;NA;76,15;489,08;NA;NA;NA;175,41;NA;NA;8.707
17.06.70;81,97;NA;NA;NA;NA;NA;NA;NA;NA;76;489,08;NA;NA;NA;178,31;NA;NA;8.897
18.06.70;81,97;NA;NA;NA;NA;NA;NA;NA;NA;76,51;483,73;NA;NA;NA;176,85;NA;NA;9.031
19.06.70;81,97;NA;NA;NA;NA;NA;NA;NA;NA;77,05;483,95;NA;NA;NA;177,36;NA;NA;9.017
22.06.70;81,97;NA;NA;NA;NA;NA;NA;NA;NA;76,64;482,2;NA;NA;NA;179,78;NA;NA;9.036
23.06.70;81,97;NA;NA;NA;NA;NA;NA;NA;NA;74,76;476,55;NA;NA;NA;179,01;NA;NA;8.896
24.06.70;80,52;NA;NA;NA;NA;NA;NA;NA;NA;73,97;467,73;NA;NA;NA;177,31;NA;NA;8.882
25.06.70;80,52;NA;NA;NA;NA;NA;NA;NA;NA;74,02;469,82;NA;NA;NA;176,72;NA;NA;8.853
26.06.70;80,52;NA;NA;NA;NA;NA;NA;NA;NA;73,47;470,97;NA;NA;NA;177,98;NA;NA;8.934
29.06.70;80,52;NA;NA;NA;NA;NA;NA;NA;NA;72,89;464,8;NA;NA;NA;179,7;NA;NA;8.867
30.06.70;79,837;NA;NA;NA;NA;NA;NA;NA;NA;72,72;464,83;NA;NA;NA;181,37;NA;NA;8.872
01.07.70;80,047;NA;NA;NA;NA;NA;NA;NA;NA;73,04;466,25;NA;NA;NA;181,37;NA;NA;Aug 81
02.07.70;80,047;NA;NA;NA;NA;NA;NA;NA;NA;72,92;463,42;NA;NA;NA;183,68;NA;NA;8.752
03.07.70;80,047;NA;NA;NA;NA;NA;NA;NA;NA;72,92;461,56;NA;NA;NA;184,15;NA;NA;1
06.07.70;80,047;NA;NA;NA;NA;NA;NA;NA;NA;71,78;457,54;NA;NA;NA;189,71;NA;NA;8.819
07.07.70;80,047;NA;NA;NA;NA;NA;NA;NA;NA;71,23;455,87;NA;NA;NA;187,03;NA;NA;8.896
08.07.70;79,596;NA;NA;NA;NA;NA;NA;NA;NA;73;469,85;NA;NA;NA;186,02;NA;NA;8.934
09.07.70;79,596;NA;NA;NA;NA;NA;NA;NA;NA;74,06;468,74;NA;NA;NA;190,34;NA;NA;09. Apr
10.07.70;79,596;NA;NA;NA;NA;NA;NA;NA;NA;74,57;474,09;NA;NA;NA;189,72;NA;NA;9.011
13.07.70;79,596;NA;NA;NA;NA;NA;NA;NA;NA;74,48;485,85;NA;NA;NA;188,01;NA;NA;9.079
14.07.70;79,596;NA;NA;NA;NA;NA;NA;NA;NA;74,42;481,46;NA;NA;NA;189,83;NA;NA;9.114
15.07.70;81,171;NA;NA;NA;NA;NA;NA;NA;NA;75,23;479,6;NA;NA;NA;189,85;NA;NA;9.104
16.07.70;81,171;NA;NA;NA;NA;NA;NA;NA;NA;76,34;490,68;NA;NA;NA;183,92;NA;NA;09. Jul
17.07.70;81,171;NA;NA;NA;NA;NA;NA;NA;NA;77,69;484,77;NA;NA;NA;189,38;NA;NA;9.133
20.07.70;81,171;NA;NA;NA;NA;NA;NA;NA;NA;77,72;477,33;NA;NA;NA;190,64;NA;NA;9.099
21.07.70;81,171;NA;NA;NA;NA;NA;NA;NA;NA;76,98;473,65;NA;NA;NA;191,22;NA;NA;9.104
22.07.70;82,826;NA;NA;NA;NA;NA;NA;NA;NA;77,03;478,04;NA;NA;NA;193,27;NA;NA;9.148
23.07.70;82,826;NA;NA;NA;NA;NA;NA;NA;NA;78;478,15;NA;NA;NA;194,58;NA;NA;9.114
24.07.70;82,826;NA;NA;NA;NA;NA;NA;NA;NA;77,82;484,69;NA;NA;NA;193,88;NA;NA;9.089
27.07.70;82,826;NA;NA;NA;NA;NA;NA;NA;NA;77,65;481,68;NA;NA;NA;195,01;NA;NA;9.069
28.07.70;82,826;NA;NA;NA;NA;NA;NA;NA;NA;77,77;482,43;NA;NA;NA;193,89;NA;NA;9.148
29.07.70;84,08;NA;NA;NA;NA;NA;NA;NA;NA;78,04;489,68;NA;NA;NA;194,22;NA;NA;9.163
30.07.70;84,08;NA;NA;NA;NA;NA;NA;NA;NA;78,07;490,61;NA;NA;NA;195,63;NA;NA;9.118
31.07.70;84,585;NA;NA;NA;NA;NA;NA;NA;NA;78,05;492,54;NA;NA;NA;194,53;NA;NA;9.065
03.08.70;84,585;NA;NA;NA;NA;NA;NA;NA;NA;77,02;497,15;NA;NA;NA;192,72;NA;NA;9.001
04.08.70;84,585;NA;NA;NA;NA;NA;NA;NA;NA;77,19;494,74;NA;NA;NA;193,24;NA;NA;9.025
05.08.70;84,028;NA;NA;NA;NA;NA;NA;NA;NA;77,18;499,09;NA;NA;NA;194,32;NA;NA;8.982
06.08.70;84,028;NA;NA;NA;NA;NA;NA;NA;NA;77,08;502,84;NA;NA;NA;195,55;NA;NA;9.123
07.08.70;84,028;NA;NA;NA;NA;NA;NA;NA;NA;77,28;504,18;NA;NA;NA;195,84;NA;NA;9.114
10.08.70;84,028;NA;NA;NA;NA;NA;NA;NA;NA;76,2;509,47;NA;NA;NA;197,72;NA;NA;9.203
11.08.70;84,028;NA;NA;NA;NA;NA;NA;NA;NA;75,82;508,2;NA;NA;NA;200,18;NA;NA;9.308
12.08.70;82,523;NA;NA;NA;NA;NA;NA;NA;NA;75,42;513,67;NA;NA;NA;201,55;NA;NA;9.348
13.08.70;82,523;NA;NA;NA;NA;NA;NA;NA;NA;74,76;509,91;NA;NA;NA;201,94;NA;NA;9.348
14.08.70;82,523;NA;NA;NA;NA;NA;NA;NA;NA;75,18;500,32;NA;NA;NA;203,06;NA;NA;9.377
17.08.70;82,523;NA;NA;NA;NA;NA;NA;NA;NA;75,33;495,63;NA;NA;NA;202,46;NA;NA;9.352
18.08.70;82,523;NA;NA;NA;NA;NA;NA;NA;NA;76,2;497,75;NA;NA;NA;203,45;NA;NA;9.377
19.08.70;83,446;NA;NA;NA;NA;NA;NA;NA;NA;76,96;497,67;NA;NA;NA;204,51;NA;NA;9.352
20.08.70;83,446;NA;NA;NA;NA;NA;NA;NA;NA;77,64;499,42;NA;NA;NA;203,22;NA;NA;9.342
21.08.70;83,446;NA;NA;NA;NA;NA;NA;NA;NA;79,24;502,47;NA;NA;NA;203,89;NA;NA;9.371
24.08.70;83,446;NA;NA;NA;NA;NA;NA;NA;NA;80,99;507,35;NA;NA;NA;203,55;NA;NA;9.332
25.08.70;83,446;NA;NA;NA;NA;NA;NA;NA;NA;81,12;504,22;NA;NA;NA;202,99;NA;NA;9.342
26.08.70;86,998;NA;NA;NA;NA;NA;NA;NA;NA;81,21;501,99;NA;NA;NA;201,5;NA;NA;9.411
27.08.70;86,998;NA;NA;NA;NA;NA;NA;NA;NA;81,08;499,57;NA;NA;NA;200,25;NA;NA;9.381
28.08.70;86,998;NA;NA;NA;NA;NA;NA;NA;NA;81,86;498,46;NA;NA;NA;201,15;NA;NA;9.303
31.08.70;87,175;NA;NA;NA;NA;NA;NA;NA;NA;81,52;496,6;NA;NA;NA;201,15;NA;NA;9.302
01.09.70;87,175;NA;NA;NA;NA;NA;NA;NA;NA;80,95;494,07;NA;NA;NA;200,78;NA;NA;9.254
02.09.70;86,566;NA;NA;NA;NA;NA;NA;NA;NA;80,96;497,79;NA;NA;NA;198,54;NA;NA;9.253
03.09.70;86,566;NA;NA;NA;NA;NA;NA;NA;NA;82,09;496,67;NA;NA;NA;196,77;NA;NA;9.017
04.09.70;86,566;NA;NA;NA;NA;NA;NA;NA;NA;82,83;495,78;NA;NA;NA;198,36;NA;NA;1
07.09.70;86,566;NA;NA;NA;NA;NA;NA;NA;NA;82,83;494,03;NA;NA;NA;199,24;NA;NA;8.993
08.09.70;86,566;NA;NA;NA;NA;NA;NA;NA;NA;83,04;492,32;NA;NA;NA;197,31;NA;NA;8.983
09.09.70;88,161;NA;NA;NA;NA;NA;NA;NA;NA;82,79;489,79;NA;NA;NA;196,57;NA;NA;8.983
10.09.70;88,161;NA;NA;NA;NA;NA;NA;NA;NA;82,3;487;NA;NA;NA;198,12;NA;NA;8.902
11.09.70;88,161;NA;NA;NA;NA;NA;NA;NA;NA;82,52;484,03;NA;NA;NA;197,91;NA;NA;8.949
14.09.70;88,161;NA;NA;NA;NA;NA;NA;NA;NA;82,07;479,23;NA;NA;NA;198,61;NA;NA;Aug 94
15.09.70;88,161;NA;NA;NA;NA;NA;NA;NA;NA;81,36;480,34;NA;NA;NA;197,39;NA;NA;8.873
16.09.70;87,198;NA;NA;NA;NA;NA;NA;NA;NA;81,79;474,09;NA;NA;NA;198,61;NA;NA;8.911
17.09.70;87,198;NA;NA;NA;NA;NA;NA;NA;NA;82,29;473,72;NA;NA;NA;195,96;NA;NA;Aug 93
18.09.70;87,198;NA;NA;NA;NA;NA;NA;NA;NA;82,62;477,63;NA;NA;NA;194,76;NA;NA;8.967
21.09.70;87,198;NA;NA;NA;NA;NA;NA;NA;NA;81,91;474,58;NA;NA;NA;192,46;NA;NA;8.963
22.09.70;87,198;NA;NA;NA;NA;NA;NA;NA;NA;81,66;476,74;NA;NA;NA;192,82;NA;NA;8.929
23.09.70;88,382;NA;NA;NA;NA;NA;NA;NA;NA;82,83;478,86;NA;NA;NA;192,05;NA;NA;8.953
24.09.70;88,382;NA;NA;NA;NA;NA;NA;NA;NA;83,91;486,26;NA;NA;NA;192,91;NA;NA;8.953
25.09.70;88,382;NA;NA;NA;NA;NA;NA;NA;NA;83,97;489,68;NA;NA;NA;195,37;NA;NA;9
28.09.70;88,382;NA;NA;NA;NA;NA;NA;NA;NA;83,86;490,13;NA;NA;NA;196,48;NA;NA;9.029
29.09.70;88,382;NA;NA;NA;NA;NA;NA;NA;NA;84,3;486,93;NA;NA;NA;197,74;NA;NA;9.058
30.09.70;89,788;NA;NA;NA;NA;NA;NA;NA;NA;84,21;486,67;NA;NA;NA;198,55;NA;NA;8.981
01.10.70;89,788;NA;NA;NA;NA;NA;NA;NA;NA;84,32;479,75;NA;NA;NA;197,81;NA;NA;8.857
02.10.70;89,788;NA;NA;NA;NA;NA;NA;NA;NA;85,16;478,48;NA;NA;NA;196,58;NA;NA;8.833
05.10.70;89,788;NA;NA;NA;NA;NA;NA;NA;NA;86,47;481,98;NA;NA;NA;197,28;NA;NA;8.861
06.10.70;89,788;NA;NA;NA;NA;NA;NA;NA;NA;86,85;482,24;NA;NA;NA;197,03;NA;NA;8.861
07.10.70;92,014;NA;NA;NA;NA;NA;NA;NA;NA;86,89;479,41;NA;NA;NA;196,98;NA;NA;8.861
08.10.70;92,014;NA;NA;NA;NA;NA;NA;NA;NA;85,95;475,69;NA;NA;NA;193,12;NA;NA;8.696
09.10.70;92,014;NA;NA;NA;NA;NA;NA;NA;NA;85,08;476,07;NA;NA;NA;195,81;NA;NA;1
12.10.70;92,014;NA;NA;NA;NA;NA;NA;NA;NA;84,17;470;NA;NA;NA;194,92;NA;NA;8.743
13.10.70;92,014;NA;NA;NA;NA;NA;NA;NA;NA;84,06;466,47;NA;NA;NA;194,34;NA;NA;8.842
14.10.70;89,817;NA;NA;NA;NA;NA;NA;NA;NA;84,19;469,11;NA;NA;NA;194,16;NA;NA;8.832
15.10.70;89,817;NA;NA;NA;NA;NA;NA;NA;NA;84,65;471,27;NA;NA;NA;193,14;NA;NA;8.808
16.10.70;89,817;NA;NA;NA;NA;NA;NA;NA;NA;84,28;471,49;NA;NA;NA;191,61;NA;NA;8.784
19.10.70;89,817;NA;NA;NA;NA;NA;NA;NA;NA;83,15;472,5;NA;NA;NA;194,13;NA;NA;8.784
20.10.70;89,817;NA;NA;NA;NA;NA;NA;NA;NA;83,64;475,99;NA;NA;NA;194,19;NA;NA;8.817
