#NAME?;MSCI AC WORLD U$ - PRICE INDEX;MSCI EM U$ - PRICE INDEX;MSCI EUROPE U$ - PRICE INDEX;MSCI EAFE U$ - PRICE INDEX;MSCI PACIFIC U$ - PRICE INDEX;S&P 500 COMPOSITE - PRICE INDEX;FTSE 100 - PRICE INDEX;NIKKEI 225 STOCK AVERAGE - PRICE INDEX
17.12.81;;;126,658;196,58;416,653;123,12;;7682,53
18.12.81;;;125,523;195,311;416,653;124;;7669,93
21.12.81;;;125,368;195,321;416,653;123,34;;7668,9
22.12.81;;;125,952;195,962;416,653;122,88;;7644,57
23.12.81;;;126,365;196,498;416,653;122,31;;7681,99
24.12.81;;;126,458;196,677;416,653;122,54;;7662,48
25.12.81;;;126,458;196,677;416,653;122,54;;7665,02
28.12.81;;;126,696;196,838;416,653;122,27;;7681,84
29.12.81;;;127,351;197,215;416,653;121,67;;7681,84
30.12.81;;;128,181;198,822;416,653;122,3;;7681,84
31.12.81;;;128,672;198,987;419,997;122,55;;7681,84
01.01.82;;;128,672;198,987;419,997;122,55;;7681,84
04.01.82;;;129,247;200,252;419,997;122,74;;7718,84
05.01.82;;;127,406;198,465;419,997;120,05;;7719,34
06.01.82;;;127,126;197,682;419,997;119,18;;7697,6
07.01.82;;;127,221;196,424;419,997;118,93;;7691,22
08.01.82;;;128,417;196,868;419,997;119,55;;7662,22
11.01.82;;;126,756;195,271;419,997;116,78;;7675,26
12.01.82;;;125,182;193,455;419,997;116,3;;7631,77
13.01.82;;;125,876;193,431;419,997;114,88;;7635,66
14.01.82;;;124,111;191,976;419,997;115,54;;7667,02
15.01.82;;;125,274;193,466;419,997;116,33;;7667,02
18.01.82;;;125,573;192,625;419,997;117,22;;7659,34
19.01.82;;;127,703;194,481;419,997;115,97;;7677,07
20.01.82;;;126,8;194,061;419,997;115,27;;7717,23
21.01.82;;;128,271;195,12;419,997;115,75;;7737,51
22.01.82;;;128,832;195,993;419,997;115,38;;7823,36
25.01.82;;;126,107;194,12;419,997;115,41;;7906,26
26.01.82;;;127,91;194,791;419,997;115,19;;7863,4
27.01.82;;;128,582;195,963;419,997;115,14;;7926,55
28.01.82;;;128,341;194,705;419,997;118,92;;7903,85
29.01.82;;;130,093;197,04;408,905;120,4;;7918,82
01.02.82;;;127,549;193,863;408,905;117,78;;7909,79
02.02.82;;;126,944;191,893;408,905;118,01;;7828
03.02.82;;;127,717;192,272;408,905;116,48;;7860,94
04.02.82;;;127,597;191,841;408,905;116,42;;7834,7
05.02.82;;;128,123;191,815;408,905;117,26;;7801,88
08.02.82;;;126,934;190,583;408,905;114,63;;7784,89
